site,K
Site7,1.791163034
Site7,1.74592
Site7,2.592144919
Site7,1.741982507
Site7,1.926825261
Site7,1.679314899
Site7,2.059567082
Site7,2.014272968
Site7,1.814744802
Site7,1.665808609
Site7,2.500342936
Site7,2.54465167
Site7,1.668828506
Site7,1.849944139
Site7,2.124709495
Site7,1.744283921
Site7,1.800025044
Site7,1.828542953
Site7,1.948111061
Site7,1.712997746
Site7,2.032210537
Site7,1.777777778
Site7,1.920128995
Site7,1.714677641
Site7,1.788413778
Site7,1.766081971
Site7,1.915616427
Site7,1.835240912
Site7,2.073006269
Site7,1.94078922
Site7,1.812457189
Site7,1.683436807
Site7,2.57789353
Site7,2.389622212
Site7,1.760851246
Site7,1.594359327
Site7,1.593532121
Site7,2.489427195
Site7,2.548663811
Site7,1.942793273
Site7,1.779850381
Site7,1.679684219
Site7,1.91699782
Site7,1.83750112
Site7,1.905569487
Site7,1.731142309
Site7,1.83950831
Site7,1.808016904
Site7,1.658163265
Site7,1.896525565
Site7,1.795433614
Site7,1.886260519
Site7,1.76149453
Site7,1.568054866
Site7,1.533102679
Site7,1.751609332
Site7,2.450598187
Site7,1.729407474
Site7,2.127906977
Site8,2.649526608
Site8,1.69091199
Site8,1.898957445
Site8,1.77244814
Site8,1.789663543
Site8,1.840721262
Site8,2.69997195
Site8,2.186187816
Site8,1.933609953
Site8,2.477050781
Site8,2.704531619
Site8,1.936042274
Site8,1.947916737
Site8,1.886217553
Site8,1.632653061
Site8,2.260212049
Site8,2.024619372
Site8,1.831054688
Site8,1.776795057
Site8,1.716962565
Site8,2.676394411
Site8,1.840277778
Site8,1.685579076
Site8,1.90464
Site8,2.507715735
Site8,2.754670122
Site8,2.099125364
Site8,2.143347051
Site8,1.854380553
Site8,1.809258882
Site8,1.952001315
Site8,1.76
Site8,1.725079654
Site8,1.491680905
Site8,1.767277914
Site8,2.024619372
Site8,1.733873096
Site8,2.159593996
Site8,1.784970548
Site8,2.536351166
Site8,2.68
Site8,2.643790581
Site8,2.759529114
Site8,2.606070629
Site8,1.857907253
Site8,2.031311211
Site8,1.776795057
Site8,1.849264404
Site8,1.851474491
Site8,1.751787453
Site8,1.810674614
Site8,1.863260706
Site8,1.651330175
Site8,2.031311211
Site8,2.440188901
Site8,2.5625
Site8,2.511936196
Site8,2.062917709
Site8,1.99567994
Site8,1.889644747
Site8,1.988840557
Site8,1.724537037
Site8,2.699494391
Site8,2.633677068
Site8,1.985866891
Site8,2.086522983
Site8,1.822423094
Site8,1.755829904
Site8,2.08
Site8,2.875
Site8,1.759259259
Site8,2.095717116
Site8,1.760894065
Site8,2.039966341
Site8,1.746408109
Site8,1.92336589
Site8,2.032210537
Site8,2.34375
Site8,1.808449074
Site8,2
Site8,1.878287002
Site8,1.682945154
Site8,2.099125364
Site8,1.884644669
Site8,2.294568621
Site8,2.311626518
Site8,2.015086279
Site8,2.5
Site8,1.869969146
Site8,1.632653061
Site8,2.024619372
Site8,2.138176513
Site8,1.99567994
Site8,2.039966341
Site8,1.342687389
Site8,2.035416243
Site8,1.743050338
Site8,1.863260706
Site8,1.947916737
Site8,1.77818422
Site8,1.803155522
Site8,1.880747194
Site8,1.865889213
Site8,1.99567994
Site8,2
Site8,1.920232135
Site8,1.743050338
Site8,1.879099854
Site8,1.879099854
Site8,1.863260706
Site8,1.896346714
Site8,1.929012346
Site8,1.780989212
Site8,1.813577651
Site8,1.905197378
Site8,1.835922524
Site8,1.879099854
Site8,1.805555556
